Slank;Formal
rekanrekan;rekan
aaaah;ah
aamiin;amin
abal2;abal-abal
abdate;update
abdet;update
abdete;update
abdi;saya
abis;habis
abis"ny;habis-habisnya
abodemen;abonemen
absurd;tidak jelas
acc;setuju
accðÿ;accept
acount;account
ad;ada
ada/belum;ada atau belum
adan;ada
adaptasiin;adaptasi
addohhhhhh;aduh
adek;adik
adhu;aduh
adhuh;aduh
adm;admin
admin-makasih;admin , terima kasih
adminya;adminnya
ads;ada
aduhh;aduh
aduihhhh;aduh
aduin;ajukan
aduuhh;aduh
aduuuh;aduh
ae;aja
aetiap;setiap
afk;aplikasi
aga;agak
agat;agak
agt;agustus
ahhhh;ah
ahirnya;akhirnya
ai;artificial intelligence
aidi;id
ain;lain
aing;saya
aiti;it
aj;aja
ajaa;aja
ajaaa;aja
ajaaaa;aja
ajah;aja
ajalah;aja lah
ajanug;aja bug
ajee;aja
ajg;anjing
ajh;aja
ajj;aja
ajuin;ajukan
ajur;hancur
ak;aku
akantetapi;akan tetapi
akfifkan;aktifkan
akhir2;akhir-akhir
akhirâ;akhir-akhir
akirnya;akhirnya
akitifin;aktifkan
aksesðÿ;akses
aktif/tidak;aktif atau tidak
aktifasi;aktivasi
aktifðÿ;aktif
aktifin;mengaktifkan
aktip;aktif
aktivksn;aktivasi
aktpkan;aktifkan
akubteliti;aku teliti
akubtelitii;aku teliti
akwowmwowko;hahaha
alesan;alasan
alesannya;alasannya
alhamdulilah;alhamdulillah
alhmdulillah;alhamdulillah
alljaaaa;aja
alpikasi;aplikasi
alpikasinya;aplikasinya
ama;sama
aman2;aman-aman
amfun;ampun
aminn;amin
amit2;amit-amit
ampe;sampai
ampei;sampai
amplikasinya;aplikasinya
ampunðÿ;ampun
ampunn;ampun
ampunnn;ampun
ampunnnnnðÿ;ampun
ampunnnnnmelelahkan;ampun melelahkan
ampunsetiap;ampun setiap
ampuun;ampun
ampuuuunnn;ampun
ampuuuuuuuunnmn;ampun
amsyong;kacau
ancur;hancur
andaikn;andaikan
andelin;andalkan
andorid;android
ane;saya
anehðÿ;aneh
anehh;aneh
anehhh;aneh
